id;province_id;name
1101;11;KAB. ACEH SELATAN
1102;11;KAB. ACEH TENGGARA
1103;11;KAB. ACEH TIMUR
1104;11;KAB. ACEH TENGAH
1105;11;KAB. ACEH BARAT
1106;11;KAB. ACEH BESAR
1107;11;KAB. PIDIE
1108;11;KAB. ACEH UTARA
1109;11;KAB. SIMEULUE
1110;11;KAB. ACEH SINGKIL
1111;11;KAB. BIREUEN
1112;11;KAB. ACEH BARAT DAYA
1113;11;KAB. GAYO LUES
1114;11;KAB. ACEH JAYA
1115;11;KAB. NAGAN RAYA
1116;11;KAB. ACEH TAMIANG
1117;11;KAB. BENER MERIAH
1118;11;KAB. PIDIE JAYA
1171;11;KOTA BANDA ACEH
1172;11;KOTA SABANG
1173;11;KOTA LHOKSEUMAWE
1174;11;KOTA LANGSA
1175;11;KOTA SUBULUSSALAM
1201;12;KAB. TAPANULI TENGAH
1202;12;KAB. TAPANULI UTARA
1203;12;KAB. TAPANULI SELATAN
1204;12;KAB. NIAS
1205;12;KAB. LANGKAT
1206;12;KAB. KARO
1207;12;KAB. DELI SERDANG
1208;12;KAB. SIMALUNGUN
1209;12;KAB. ASAHAN
1210;12;KAB. LABUHANBATU
1211;12;KAB. DAIRI
1212;12;KAB. TOBA SAMOSIR
1213;12;KAB. MANDAILING NATAL
1214;12;KAB. NIAS SELATAN
1215;12;KAB. PAKPAK BHARAT
1216;12;KAB. HUMBANG HASUNDUTAN
1217;12;KAB. SAMOSIR
1218;12;KAB. SERDANG BEDAGAI
1219;12;KAB. BATU BARA
1220;12;KAB. PADANG LAWAS UTARA
1221;12;KAB. PADANG LAWAS
1222;12;KAB. LABUHANBATU SELATAN
1223;12;KAB. LABUHANBATU UTARA
1224;12;KAB. NIAS UTARA
1225;12;KAB. NIAS BARAT
1271;12;KOTA MEDAN
1272;12;KOTA PEMATANGSIANTAR
1273;12;KOTA SIBOLGA
1274;12;KOTA TANJUNG BALAI
1275;12;KOTA BINJAI
1276;12;KOTA TEBING TINGGI
1277;12;KOTA PADANG SIDEMPUAN
1278;12;KOTA GUNUNGSITOLI
1301;13;KAB. PESISIR SELATAN
1302;13;KAB. SOLOK
1303;13;KAB. SIJUNJUNG
1304;13;KAB. TANAH DATAR
1305;13;KAB. PADANG PARIAMAN
1306;13;KAB. AGAM
1307;13;KAB. LIMA PULUH KOTA
1308;13;KAB. PASAMAN
1309;13;KAB. KEPULAUAN MENTAWAI
1310;13;KAB. DHARMASRAYA
1311;13;KAB. SOLOK SELATAN
1312;13;KAB. PASAMAN BARAT
1371;13;KOTA PADANG
1372;13;KOTA SOLOK
1373;13;KOTA SAWAHLUNTO
1374;13;KOTA PADANG PANJANG
1375;13;KOTA BUKITTINGGI
1376;13;KOTA PAYAKUMBUH
1377;13;KOTA PARIAMAN
1401;14;KAB. KAMPAR
1402;14;KAB. INDRAGIRI HULU
1403;14;KAB. BENGKALIS
1404;14;KAB. INDRAGIRI HILIR
1405;14;KAB. PELALAWAN
1406;14;KAB. ROKAN HULU
1407;14;KAB. ROKAN HILIR
1408;14;KAB. SIAK
1409;14;KAB. KUANTAN SINGINGI
1410;14;KAB. KEPULAUAN MERANTI
1471;14;KOTA PEKANBARU
1472;14;KOTA DUMAI
1501;15;KAB. KERINCI
1502;15;KAB. MERANGIN
1503;15;KAB. SAROLANGUN
1504;15;KAB. BATANGHARI
1505;15;KAB. MUARO JAMBI
1506;15;KAB. TANJUNG JABUNG BARAT
1507;15;KAB. TANJUNG JABUNG TIMUR
1508;15;KAB. BUNGO
1509;15;KAB. TEBO
1571;15;KOTA JAMBI
1572;15;KOTA SUNGAI PENUH
1601;16;KAB. OGAN KOMERING ULU
1602;16;KAB. OGAN KOMERING ILIR
1603;16;KAB. MUARA ENIM
1604;16;KAB. LAHAT
1605;16;KAB. MUSI RAWAS
1606;16;KAB. MUSI BANYUASIN
1607;16;KAB. BANYUASIN
1608;16;KAB. OGAN KOMERING ULU TIMUR
1609;16;KAB. OGAN KOMERING ULU SELATAN
1610;16;KAB. OGAN ILIR
1611;16;KAB. EMPAT LAWANG
1612;16;KAB. PENUKAL ABAB LEMATANG ILIR
1613;16;KAB. MUSI RAWAS UTARA
1671;16;KOTA PALEMBANG
1672;16;KOTA PAGAR ALAM
1673;16;KOTA LUBUK LINGGAU
1674;16;KOTA PRABUMULIH
1701;17;KAB. BENGKULU SELATAN
1702;17;KAB. REJANG LEBONG
1703;17;KAB. BENGKULU UTARA
1704;17;KAB. KAUR
1705;17;KAB. SELUMA
1706;17;KAB. MUKO MUKO
1707;17;KAB. LEBONG
1708;17;KAB. KEPAHIANG
1709;17;KAB. BENGKULU TENGAH
1771;17;KOTA BENGKULU
1801;18;KAB. LAMPUNG SELATAN
1802;18;KAB. LAMPUNG TENGAH
1803;18;KAB. LAMPUNG UTARA
1804;18;KAB. LAMPUNG BARAT
1805;18;KAB. TULANG BAWANG
1806;18;KAB. TANGGAMUS
1807;18;KAB. LAMPUNG TIMUR
1808;18;KAB. WAY KANAN
1809;18;KAB. PESAWARAN
1810;18;KAB. PRINGSEWU
1811;18;KAB. MESUJI
1812;18;KAB. TULANG BAWANG BARAT
1813;18;KAB. PESISIR BARAT
1871;18;KOTA BANDAR LAMPUNG
1872;18;KOTA METRO
1901;19;KAB. BANGKA
1902;19;KAB. BELITUNG
1903;19;KAB. BANGKA SELATAN
1904;19;KAB. BANGKA TENGAH
1905;19;KAB. BANGKA BARAT
1906;19;KAB. BELITUNG TIMUR
1971;19;KOTA PANGKAL PINANG
2101;21;KAB. BINTAN
2102;21;KAB. KARIMUN
2103;21;KAB. NATUNA
2104;21;KAB. LINGGA
2105;21;KAB. KEPULAUAN ANAMBAS
2171;21;KOTA BATAM
2172;21;KOTA TANJUNG PINANG
3101;31;KAB. ADM. KEP. SERIBU
3171;31;KOTA ADM. JAKARTA PUSAT
3172;31;KOTA ADM. JAKARTA UTARA
3173;31;KOTA ADM. JAKARTA BARAT
3174;31;KOTA ADM. JAKARTA SELATAN
3175;31;KOTA ADM. JAKARTA TIMUR
3201;32;KAB. BOGOR
3202;32;KAB. SUKABUMI
3203;32;KAB. CIANJUR
3204;32;KAB. BANDUNG
3205;32;KAB. GARUT
3206;32;KAB. TASIKMALAYA
3207;32;KAB. CIAMIS
3208;32;KAB. KUNINGAN
3209;32;KAB. CIREBON
3210;32;KAB. MAJALENGKA
3211;32;KAB. SUMEDANG
3212;32;KAB. INDRAMAYU
3213;32;KAB. SUBANG
3214;32;KAB. PURWAKARTA
3215;32;KAB. KARAWANG
3216;32;KAB. BEKASI
3217;32;KAB. BANDUNG BARAT
3218;32;KAB. PANGANDARAN
3271;32;KOTA BOGOR
3272;32;KOTA SUKABUMI
3273;32;KOTA BANDUNG
3274;32;KOTA CIREBON
3275;32;KOTA BEKASI
3276;32;KOTA DEPOK
3277;32;KOTA CIMAHI
3278;32;KOTA TASIKMALAYA
3279;32;KOTA BANJAR
3301;33;KAB. CILACAP
3302;33;KAB. BANYUMAS
3303;33;KAB. PURBALINGGA
3304;33;KAB. BANJARNEGARA
3305;33;KAB. KEBUMEN
3306;33;KAB. PURWOREJO
3307;33;KAB. WONOSOBO
3308;33;KAB. MAGELANG
